,Title,Published_date,Views,Likes,Comments,Month
35,How to Make a Roux | Make It Right,2018-03-03,672,6,"{'viewCount': '672', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '0'}",Mar
36,Birthday vs. Birthday | Chef Brain Ep. 9,2018-03-01,2397,22,"{'viewCount': '2397', 'likeCount': '22', 'favoriteCount': '0', 'commentCount': '0'}",Mar
37,Honey & Soy Glazed Duck Recipe,2018-02-26,872,4,"{'viewCount': '872', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '0'}",Feb
38,HelloFresh x Match.com | Rapid Dating Event,2018-02-15,337,2,"{'viewCount': '337', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Feb
39,Rapid vs. Rapid | Chef Brain Ep. 8,2018-02-15,3880,31,"{'viewCount': '3880', 'likeCount': '31', 'favoriteCount': '0', 'commentCount': '0'}",Feb
40,Pancake vs. Pancake | Chef Brain Ep. 7,2018-02-08,1629,26,"{'viewCount': '1629', 'likeCount': '26', 'favoriteCount': '0', 'commentCount': '4'}",Feb
41,Aphrodisiac vs. Aphrodisiac | Ep. 6,2018-02-01,1662,33,"{'viewCount': '1662', 'likeCount': '33', 'favoriteCount': '0', 'commentCount': '0'}",Feb
42,Dinner Is Solved,2018-02-01,8174,19,"{'viewCount': '8174', 'likeCount': '19', 'favoriteCount': '0', 'commentCount': '5'}",Feb
43,Vegan vs. Vegan  | Chef Brain Ep. 5,2018-01-18,3305,59,"{'viewCount': '3305', 'likeCount': '59', 'favoriteCount': '0', 'commentCount': '7'}",Jan
44,Spaghetti vs. Spaghetti | Chef Brain Ep. 4,2018-01-11,8502,53,"{'viewCount': '8502', 'likeCount': '53', 'favoriteCount': '0', 'commentCount': '6'}",Jan
45,How to Cook Couscous | Make It Right,2018-01-09,2286,24,"{'viewCount': '2286', 'likeCount': '24', 'favoriteCount': '0', 'commentCount': '6'}",Jan
46,Marmite vs. Marmite | Chef Brain Ep. 3,2017-12-22,3976,56,"{'viewCount': '3976', 'likeCount': '56', 'favoriteCount': '0', 'commentCount': '12'}",Dec
47,Christmas Dinner vs. Christmas Dinner | Chef Brain Ep. 2,2017-12-14,1276,74,"{'viewCount': '1276', 'likeCount': '74', 'favoriteCount': '0', 'commentCount': '8'}",Dec
48,Our Chocolate Orange Mousse Recipe,2017-12-13,421,11,"{'viewCount': '421', 'likeCount': '11', 'favoriteCount': '0', 'commentCount': '2'}",Dec
49,HelloFresh UK Live Stream,2017-12-13,0,0,"{'viewCount': '0', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Dec
50,The Ultimate Savoury Waffles,2017-11-23,304,5,"{'viewCount': '304', 'likeCount': '5', 'favoriteCount': '0', 'commentCount': '0'}",Nov
51,Berry Stuffed French Toast,2017-11-18,157,2,"{'viewCount': '157', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Nov
52,Pumpkin vs. Pumpkin | Chef Brain Ep. 1,2017-11-16,3448,90,"{'viewCount': '3448', 'likeCount': '90', 'favoriteCount': '0', 'commentCount': '11'}",Nov
